i,j
4197,15
4214,15
4345,15
4350,15
4635,15
4637,15
4957,15
5033,15
5098,15
5219,15
5239,15
5333,15
5336,15
5595,15
5658,15
5682,15
5834,15
5983,15
6049,15
6169,15
6175,15
6248,15
6375,15
6507,15
6692,15
6712,15
6814,15
6858,15
6937,15
7157,15
7339,15
7428,15
7725,15
7729,15
7885,15
8013,15
8379,15
8596,15
8838,15
8880,15
8986,15
9207,15
9315,15
9345,15
9656,15
9771,15
10038,15
10067,15
10202,15
10206,15
10442,15
10645,15
10872,15
11012,15
11351,15
11385,15
11432,15
11496,15
11950,15
12696,15
12841,15
12988,15
13099,15
13112,15
13262,15
13276,15
13432,15
13608,15
13725,15
14049,15
14090,15
14421,15
14506,15
14536,15
14911,15
15146,15
15207,15
15523,15
15673,15
15974,15
16011,15
16056,15
16138,15
16271,15
16358,15
16537,15
16624,15
16827,15
16853,15
16934,15
16985,15
17208,15
17259,15
17410,15
17634,15
17675,15
18459,15
18460,15
18548,15
18696,15
18769,15
18947,15
19294,15
19319,15
19565,15
19686,15
19802,15
20246,15
20249,15
20476,15
20539,15
20766,15
20815,15
20910,15
21094,15
21249,15
21270,15
21370,15
21385,15
21387,15
21625,15
21777,15
21784,15
21813,15
21894,15
21917,15
21962,15
22022,15
22049,15
22307,15
22350,15
22448,15
22526,15
22824,15
22838,15
22870,15
23008,15
23337,15
23384,15
23408,15
23554,15
23675,15
23837,15
24220,15
24360,15
24451,15
24502,15
24559,15
24691,15
24794,15
24889,15
24895,15
24898,15
25066,15
25199,15
25490,15
25553,15
25874,15
25902,15
26003,15
26068,15
26337,15
26355,15
26390,15
26453,15
26486,15
26569,15
26583,15
26779,15
26827,15
27065,15
27177,15
27307,15
27348,15
27740,15
27902,15
28014,15
28113,15
28152,15
28222,15
28236,15
28559,15
28886,15
29090,15
29149,15
29191,15
29276,15
30178,15
30259,15
30280,15
30516,15
30625,15
30734,15
30747,15
30775,15
31081,15
31131,15
31223,15
31373,15
31411,15
31635,15
31788,15
31792,15
31811,15
31914,15
32197,15
32203,15
32306,15
32308,15
95,16
527,16
1206,16
1773,16
1854,16
2671,16
3112,16
3187,16
3584,16
4016,16
5101,16
6097,16
6418,16
7573,16
8350,16
9027,16
9906,16
11731,16
12377,16
12843,16
12996,16
13668,16
13687,16
14393,16
14860,16
14931,16
14961,16
15056,16
15765,16
17973,16
18101,16
19695,16
20034,16
20366,16
21102,16
21534,16
21677,16
23719,16
23727,16
23877,16
24142,16
24464,16
25778,16
26382,16
26487,16
26531,16
28581,16
28683,16
28731,16
28912,16
29674,16
30372,16
31436,16
31796,16
18871,17
19124,17
6835,18
14496,18
415,19
525,19
774,19
1093,19
1767,19
2146,19
2978,19
3283,19
3475,19
3925,19
4881,19
4928,19
5286,19
5420,19
6121,19
6142,19
6841,19
7250,19
7307,19
7499,19
7677,19
8128,19
8389,19
8550,19
8844,19
8985,19
9554,19
9566,19
9594,19
9947,19
9960,19
10111,19
10383,19
10985,19
11273,19
11804,19
12227,19
12497,19
12628,19
12788,19
12963,19
13076,19
13516,19
14209,19
14826,19
14863,19
14963,19
15151,19
15303,19
15814,19
15961,19
16127,19
16707,19
16845,19
17834,19
18966,19
19215,19
19694,19
19792,19
19888,19
19980,19
20449,19
20541,19
21138,19
21240,19
21533,19
21542,19
21905,19
21981,19
22154,19
22309,19
23561,19
23754,19
23836,19
24565,19
24766,19
25067,19
25318,19
26041,19
26736,19
26976,19
27835,19
27848,19
27985,19
28583,19
28608,19
29882,19
29956,19
30038,19
30250,19
30482,19
30569,19
30585,19
31985,19
32120,19
32215,19
8692,20
22870,20
203,21
1417,21
3560,21
3602,21
3625,21
13143,21
15692,21
17299,21
17657,21
22579,21
29127,21
30382,21
19932,22
1440,23
1479,23
1526,23
2076,23
3964,23
4522,23
5183,23
5446,23
6012,23
6200,23
6451,23
6779,23
8748,23
11311,23
11514,23
12349,23
13255,23
13631,23
14579,23
15269,23
15849,23
16087,23
16172,23
17328,23
18293,23
20665,23
20972,23
22990,23
24251,23
27517,23
27664,23
28036,23
29351,23
30248,23
30296,23
31055,23
3955,24
4766,24
6201,24
6723,24
27672,24
1241,25
8451,25
15536,25
22345,25
22468,25
24905,25
28310,25
397,26
991,26
5551,26
6251,26
6304,26
7407,26
10644,26
10973,26
11308,26
12257,26
13890,26
15040,26
15155,26
15680,26
16684,26
17808,26
18348,26
18706,26
20282,26
20717,26
21727,26
22153,26
27909,26
28545,26
28739,26
29354,26
30423,26
31213,26
31287,26
32387,26
23688,27
14562,28
143,29
881,29
1973,29
2254,29
2619,29
2708,29
3152,29
3182,29
3365,29
3442,29
4112,29
4219,29
4384,29
4709,29
4790,29
4805,29
4843,29
5441,29
5456,29
5559,29
5618,29
5762,29
6247,29
6550,29
6615,29
6818,29
6963,29
7341,29
7378,29
8908,29
9131,29
9501,29
9764,29
9953,29
10008,29
10235,29
10602,29
10862,29
11021,29
11263,29
11362,29
11575,29
11820,29
11914,29
12019,29
12197,29
12573,29
13097,29
13342,29
13474,29
13550,29
13708,29
13929,29
14016,29
14128,29
14182,29
14743,29
14940,29
15613,29
16317,29
16741,29
17022,29
17268,29
18074,29
18313,29
18441,29
18776,29
19270,29
19338,29
19603,29
19646,29
19827,29
20157,29
20296,29
20402,29
20733,29
21087,29
21164,29
21241,29
21579,29
21604,29
21882,29
21930,29
22684,29
22929,29
22976,29
23041,29
23093,29
23942,29
24186,29
24658,29
24924,29
25465,29
26214,29
26451,29
26626,29
27939,29
28204,29
28921,29
29587,29
29814,29
30071,29
30176,29
30326,29
30346,29
30660,29
31068,29
31900,29
32385,29
32388,29
4879,30
2791,31
4340,31
6348,31
11584,31
23500,31
31002,31
31548,31
1266,32
2219,32
3192,32
6769,32
8055,32
8926,32
9104,32
9555,32
17301,32
19483,32
22780,32
11371,33
14343,33
25816,33
3587,34
6195,34
12857,34
14996,34
17112,34
17507,34
24636,34
24922,34
26507,34
1241,35
1528,35
5259,35
5266,35
5808,35
6831,35
9077,35
10672,35
11111,35
13769,35
19136,35
22345,35
22757,35
25460,35
26166,35
28310,35
280,36
390,36
1386,36
7620,36
11456,36
21863,36
24034,36
10843,37
15308,37
31090,38
378,39
510,39
1158,39
1231,39
1408,39
1472,39
1485,39
2367,39
2546,39
2655,39
3650,39
4230,39
4575,39
6593,39
7021,39
8289,39
8409,39
9315,39
9657,39
9884,39
10711,39
11950,39
12398,39
12841,39
13084,39
14090,39
15518,39
16489,39
16853,39
17114,39
17214,39
17565,39
17896,39
18008,39
18256,39
18548,39
18769,39
18817,39
18846,39
19231,39
20476,39
20755,39
21370,39
21467,39
21908,39
22022,39
22350,39
23402,39
23408,39
23912,39
24898,39
25565,39
25773,39
25844,39
26337,39
26827,39
27065,39
27390,39
28222,39
28416,39
29191,39
29830,39
30082,39
30280,39
30934,39
31145,39
31191,39
31411,39
31792,39
31827,39
13027,40
30521,40
303,41
360,41
1638,41
2113,41
3151,41
4481,41
5737,41
5836,41
7300,41
8242,41
9008,41
10024,41
10178,41
10606,41
11249,41
11307,41
11332,41
11772,41
12019,41
12278,41
12755,41
13174,41
13210,41
13399,41
14442,41
15207,41
15222,41
15642,41
17295,41
17553,41
18856,41
18940,41
19150,41
19557,41
19701,41
20709,41
21165,41
21556,41
22048,41
22633,41
22936,41
23002,41
23041,41
23629,41
23856,41
24906,41
24917,41
24941,41
27944,41
28566,41
29568,41
29908,41
30564,41
31169,41
31931,41
72,42
683,42
1051,42
1551,42
1793,42
1881,42
2624,42
2694,42
2872,42
3294,42
3408,42
3658,42
4567,42
4754,42
4764,42
5448,42
6223,42
6302,42
6453,42
6460,42
7350,42
7756,42
8096,42
8906,42
11347,42
11706,42
11808,42
12430,42
12615,42
12653,42
12777,42
13149,42
13259,42
13691,42
13763,42
14067,42
14177,42
15178,42
16078,42
16277,42
16391,42
18764,42
18777,42
19101,42
20485,42
20569,42
20667,42
22084,42
22592,42
23253,42
23473,42
23539,42
23943,42
24662,42
25617,42
26225,42
26250,42
26463,42
26981,42
28663,42
28759,42
28838,42
28888,42
29073,42
29159,42
29420,42
29657,42
29971,42
31271,42
31745,42
31749,42
31855,42
8278,43
8906,43
11061,43
13879,43
14019,43
15465,43
16078,43
17037,43
26838,43
26981,43
28712,43
28736,43
30012,43
30069,43
4931,44
4965,44
11011,44
14937,44
15091,44
300,45
1264,45
1932,45
3285,45
3731,45
4649,45
4774,45
5383,45
6966,45
7416,45
7640,45
7700,45
7828,45
9037,45
9444,45
11479,45
12059,45
12524,45
16023,45
16298,45
16687,45
17486,45
19299,45
19374,45
19852,45
19942,45
20692,45
21076,45
22494,45
24483,45
25451,45
25850,45
26109,45
26435,45
27656,45
27996,45
28310,45
28890,45
29804,45
30202,45
201,46
1953,46
3861,46
7363,46
7485,46
10929,46
11720,46
12878,46
13213,46
14140,46
17507,46
17724,46
20007,46
20245,46
20784,46
21388,46
21453,46
23968,46
25689,46
26507,46
27376,46
28430,46
29326,46
29650,46
29719,46
30020,46
489,47
898,47
2464,47
5205,47
7902,47
11781,47
12122,47
25130,47
10843,48
13464,48
20126,48
32384,48
1415,49
10461,49
15535,49
16287,49
16887,49
18971,49
25862,49
28601,49
490,50
803,50
895,50
1024,50
1229,50
1742,50
1804,50
3353,50
3452,50
4482,50
4953,50
5047,50
5253,50
6934,50
8491,50
8521,50
8940,50
9502,50
13014,50
14913,50
16350,50
16511,50
17084,50
18273,50
20480,50
22562,50
23520,50
23881,50
24794,50
25255,50
25575,50
28351,50
29539,50
30490,50
31356,50
31584,50
32286,50
959,51
1314,51
3346,51
3884,51
4844,51
5302,51
6140,51
6339,51
7090,51
8558,51
8764,51
9792,51
10038,51
11072,51
11482,51
12070,51
12281,51
13014,51
13053,51
14195,51
19279,51
21913,51
22790,51
25452,51
28043,51
29019,51
29304,51
29741,51
30390,51
31667,51
199,52
1735,52
2728,52
2886,52
5156,52
8204,52
10364,52
10920,52
10950,52
14830,52
15532,52
15690,52
17540,52
17689,52
18558,52
20933,52
21272,52
23571,52
23873,52
24581,52
24981,52
25048,52
26081,52
30889,52
348,53
1591,53
3478,53
5879,53
11080,53
11249,53
11698,53
14940,53
16057,53
18629,53
18899,53
19861,53
21119,53
21844,53
22879,53
23856,53
24917,53
27384,53
30023,53
31778,53
32400,53
1025,54
2168,54
9976,54
11576,54
11954,54
13071,54
26706,54
29053,54
31443,54
4374,55
9967,55
10568,55
18451,55
19428,55
20409,55
24444,55
24719,55
26711,55
30329,55
2458,56
8915,56
24551,56
6488,57
870,58
28286,59
4777,60
5942,60
11583,60
20526,60
18535,61
27341,61
988,62
1293,62
2405,62
3761,62
5514,62
6963,62
7501,62
8770,62
8795,62
9303,62
9549,62
10665,62
12501,62
13116,62
16594,62
16758,62
17278,62
17544,62
17557,62
18027,62
18477,62
18791,62
18918,62
19557,62
20139,62
23897,62
25287,62
25426,62
26214,62
26718,62
26943,62
27387,62
27621,62
28021,62
28473,62
29439,62
30413,62
31078,62
31458,62
736,63
741,63
1015,63
1881,63
2872,63
3205,63
3412,63
6121,63
6340,63
7013,63
10515,63
10561,63
11287,63
11347,63
13879,63
15465,63
16078,63
21808,63
23253,63
23856,63
24257,63
24334,63
24912,63
25106,63
25764,63
26749,63
28670,63
29027,63
29826,63
30392,63
32287,63
32329,63
2707,64
4735,64
681,65
8692,65
13596,65
18380,65
18680,65
24451,65
29564,65
1013,66
1545,66
2941,66
3107,66
3719,66
5013,66
5035,66
5469,66
5782,66
7304,66
7970,66
8055,66
8110,66
8294,66
9065,66
9273,66
9706,66
10559,66
12281,66
13333,66
13523,66
14946,66
15964,66
16989,66
17187,66
17387,66
17726,66
18181,66
20001,66
20264,66
20427,66
20534,66
21124,66
22397,66
23053,66
23420,66
23695,66
26069,66
26880,66
27578,66
30646,66
31160,66
32286,66
924,67
25580,67
27108,67
2723,68
20862,68
22462,68
25320,68
28953,68
31534,68
365,69
643,69
650,69
1252,69
2725,69
3028,69
3584,69
3697,69
4429,69
4516,69
5252,69
6287,69
6488,69
8460,69
8803,69
9876,69
10266,69
10525,69
10556,69
11704,69
11776,69
12020,69
12072,69
12521,69
13878,69
14945,69
15478,69
15976,69
16329,69
17795,69
18691,69
20545,69
21468,69
21985,69
22720,69
23585,69
24015,69
24135,69
25129,69
25410,69
25537,69
26192,69
27075,69
27381,69
27493,69
27776,69
27842,69
28267,69
29195,69
29277,69
29629,69
30752,69
31216,69
31677,69
986,70
1054,70
3615,70
9478,70
10642,70
10690,70
13286,70
20110,70
25227,70
27789,70
28479,70
29659,70
31845,70
20493,71
42,72
8278,72
8906,72
12430,72
17037,72
26981,72
29657,72
653,73
990,73
1375,73
2030,73
2356,73
3226,73
4656,73
4965,73
5074,73
7995,73
10816,73
11015,73
11099,73
11267,73
12749,73
13325,73
14937,73
15091,73
16157,73
16659,73
16910,73
16998,73
17733,73
17867,73
17903,73
18184,73
20987,73
21109,73
21193,73
23778,73
24430,73
25635,73
26191,73
26552,73
27124,73
28550,73
31851,73
1289,74
3583,74
8231,74
8687,74
10773,74
15538,74
18154,74
20067,74
20205,74
21818,74
22658,74
23212,74
23559,74
24477,74
25767,74
26944,74
26959,74
28112,74
29010,74
4350,75
6545,75
7090,75
7941,75
15913,75
23885,75
28113,75
109,76
199,76
656,76
1712,76
2153,76
2256,76
3390,76
4189,76
4201,76
4357,76
4366,76
4642,76
4866,76
5935,76
7817,76
8204,76
8406,76
8912,76
9057,76
9136,76
9551,76
9650,76
10920,76
11443,76
11702,76
12054,76
12326,76
13796,76
13994,76
14594,76
15610,76
15650,76
16987,76
17452,76
17689,76
17957,76
18044,76
18279,76
18798,76
18871,76
19394,76
19529,76
20042,76
20062,76
20452,76
22376,76
23183,76
23714,76
24581,76
24668,76
24759,76
25048,76
25184,76
25825,76
26349,76
26366,76
26746,76
27341,76
27374,76
28517,76
30002,76
30269,76
30289,76
30627,76
30681,76
30852,76
30889,76
31170,76
31248,76
31946,76
32240,76
4211,77
22315,77
22952,77
26817,77
27175,77
31209,77
31220,77
2334,78
2376,78
3054,78
5010,78
6834,78
6879,78
7275,78
7300,78
7317,78
7477,78
7878,78
9204,78
12915,78
14016,78
17076,78
17543,78
17723,78
19216,78
19533,78
20176,78
21331,78
24682,78
27398,78
31273,78
24088,79
28645,79
269,80
967,80
1229,80
1472,80
2478,80
2546,80
2762,80
3448,80
3694,80
3939,80
4735,80
4941,80
4947,80
4957,80
5161,80
5745,80
5863,80
6050,80
6261,80
6388,80
6531,80
7150,80
7584,80
8047,80
8314,80
8397,80
8867,80
9345,80
9793,80
10442,80
10730,80
10824,80
10859,80
11118,80
11120,80
11184,80
11496,80
12236,80
12481,80
12504,80
12639,80
12721,80
13952,80
14090,80
14339,80
14345,80
14410,80
14520,80
14795,80
14972,80
15025,80
15049,80
15198,80
15523,80
16633,80
16653,80
17578,80
17909,80
17950,80
18299,80
18459,80
18548,80
18788,80
18863,80
19899,80
20090,80
20448,80
20595,80
21259,80
21313,80
21385,80
21894,80
22252,80
22824,80
23078,80
23347,80
23482,80
23550,80
23635,80
23782,80
24103,80
24737,80
25221,80
25690,80
25719,80
25906,80
26390,80
26567,80
28141,80
28709,80
28926,80
29046,80
29276,80
29733,80
30731,80
30827,80
31411,80
31466,80
31792,80
32070,80
3450,81
5855,81
18060,81
24435,81
2650,82
2730,82
3542,82
5625,82
6322,82
8174,82
11573,82
11979,82
12513,82
12899,82
15222,82
17177,82
17268,82
18130,82
18991,82
23041,82
23466,82
24925,82
26837,82
27523,82
27705,82
28287,82
29459,82
30727,82
32009,82
440,83
805,83
1363,83
2247,83
2653,83
2657,83
2988,83
4930,83
5554,83
6052,83
7362,83
11550,83
11780,83
14234,83
14938,83
15115,83
15150,83
17579,83
18800,83
18989,83
19745,83
22223,83
22819,83
24157,83
26988,83
28345,83
28385,83
28873,83
29463,83
29795,83
30496,83
30628,83
31227,83
31704,83
32334,83
603,84
650,84
659,84
1206,84
1246,84
1684,84
2011,84
3092,84
4888,84
5335,84
5403,84
5723,84
6660,84
7376,84
7726,84
7891,84
8002,84
8388,84
8958,84
9445,84
9703,84
11622,84
11670,84
13624,84
13811,84
14417,84
14808,84
15429,84
16062,84
16094,84
17242,84
17449,84
18277,84
18894,84
21054,84
21644,84
21980,84
22583,84
22792,84
23171,84
23727,84
25849,84
25911,84
26384,84
26531,84
27241,84
28457,84
28731,84
28879,84
31677,84
8060,85
24866,85
186,86
225,86
251,86
309,86
703,86
850,86
968,86
1215,86
1231,86
1687,86
1818,86
1935,86
1977,86
2121,86
2177,86
2409,86
2417,86
2436,86
2638,86
2641,86
2648,86
2756,86
3014,86
3057,86
3109,86
3125,86
3271,86
3284,86
3343,86
3549,86
3624,86
3906,86
3974,86
4163,86
4180,86
4224,86
4312,86
4350,86
4701,86
4706,86
4730,86
4735,86
4744,86
4894,86
4957,86
4997,86
5068,86
5188,86
5336,86
5411,86
5536,86
5546,86
5550,86
5657,86
5667,86
5995,86
6050,86
6379,86
6507,86
6599,86
6664,86
6731,86
7147,86
7160,86
7684,86
7846,86
7956,86
8012,86
8017,86
8306,86
8333,86
8577,86
8597,86
8955,86
9009,86
9245,86
9678,86
9773,86
9789,86
9823,86
9918,86
9994,86
10645,86
10651,86
10720,86
10744,86
11039,86
11139,86
11180,86
11368,86
11523,86
11592,86
11609,86
11812,86
11825,86
11836,86
12025,86
12039,86
12180,86
12426,86
12456,86
12613,86
12728,86
12841,86
12854,86
13099,86
13179,86
13262,86
13421,86
13608,86
14335,86
14410,86
14645,86
14678,86
14690,86
14707,86
14735,86
14770,86
14792,86
14813,86
14852,86
15067,86
15377,86
15428,86
15903,86
15942,86
16024,86
16128,86
16346,86
16603,86
16645,86
17140,86
17272,86
17280,86
17308,86
17360,86
17589,86
17634,86
17878,86
17889,86
18015,86
18171,86
18198,86
18282,86
18454,86
18459,86
18530,86
18596,86
18674,86
18888,86
19053,86
19424,86
19431,86
19455,86
19457,86
19897,86
19999,86
20286,86
20491,86
20698,86
20755,86
20815,86
20867,86
20978,86
20979,86
20989,86
21029,86
21094,86
21297,86
21362,86
21423,86
21777,86
21894,86
22034,86
22261,86
22342,86
22350,86
22714,86
22794,86
22824,86
22958,86
23333,86
23337,86
23538,86
23718,86
24083,86
24809,86
24813,86
24984,86
25066,86
25177,86
25215,86
25385,86
25390,86
25765,86
25888,86
26034,86
26519,86
26562,86
26569,86
26581,86
26582,86
26623,86
26697,86
26729,86
26754,86
26860,86
27063,86
27070,86
27177,86
27348,86
27443,86
27590,86
27879,86
27950,86
27957,86
28167,86
28291,86
28491,86
28553,86
28559,86
28823,86
28926,86
29040,86
29081,86
29087,86
29178,86
29264,86
29397,86
29402,86
29495,86
29590,86
29822,86
29948,86
30221,86
30249,86
30345,86
30367,86
30401,86
30408,86
30588,86
31045,86
31071,86
31304,86
31591,86
31664,86
31779,86
32113,86
32176,86
32203,86
32306,86
1573,87
6394,87
7314,87
7437,87
10887,87
11792,87
13658,87
14681,87
16086,87
20196,87
22085,87
26991,87
29916,87
5705,88
3231,89
12963,89
13852,89
17940,89
18518,89
26503,89
31561,89
10183,90
14425,90
19593,90
29672,90
14038,91
22687,91
559,92
1456,92
3065,92
3412,92
3857,92
4299,92
6199,92
6227,92
7434,92
7924,92
8073,92
8747,92
11553,92
11580,92
11607,92
11732,92
13059,92
14927,92
15246,92
15522,92
16391,92
17749,92
18745,92
21958,92
23856,92
27853,92
28394,92
28838,92
29027,92
29414,92
29647,92
30300,92
31271,92
31317,92
32329,92
749,93
7862,93
12644,93
17464,93
20205,93
888,94
14005,94
15331,94
18987,94
16,95
118,96
127,96
175,96
333,96
514,96
552,96
650,96
659,96
731,96
1020,96
1081,96
1221,96
1252,96
1342,96
1346,96
1564,96
1684,96
2011,96
2307,96
2661,96
2782,96
2785,96
3092,96
3257,96
3261,96
3300,96
3304,96
3351,96
3467,96
3697,96
4120,96
4573,96
4679,96
4699,96
4820,96
4888,96
5122,96
5335,96
5641,96
5723,96
5771,96
5854,96
6549,96
6561,96
6817,96
6867,96
6880,96
7047,96
7547,96
7630,96
7769,96
7836,96
7891,96
7943,96
8371,96
9034,96
9212,96
9436,96
9445,96
9703,96
9813,96
10172,96
10195,96
10349,96
10726,96
10930,96
11048,96
11059,96
11504,96
11541,96
11622,96
11739,96
11970,96
12055,96
12424,96
12521,96
12875,96
12995,96
13066,96
13811,96
13867,96
14127,96
14417,96
14898,96
15358,96
15398,96
15702,96
15807,96
15954,96
15976,96
16094,96
16114,96
16572,96
16691,96
16799,96
16875,96
16992,96
17042,96
17071,96
17175,96
19468,96
20798,96
20810,96
20930,96
20932,96
20946,96
20959,96
21324,96
21354,96
21630,96
21753,96
21835,96
22015,96
22372,96
22653,96
22792,96
22946,96
22959,96
23105,96
23171,96
23432,96
23745,96
23792,96
23977,96
24843,96
25162,96
25334,96
25416,96
25911,96
26006,96
26208,96
26286,96
26363,96
26384,96
26862,96
27184,96
27428,96
27432,96
27493,96
27518,96
27591,96
28154,96
28228,96
28267,96
28425,96
28500,96
28631,96
28688,96
29013,96
29059,96
29337,96
29353,96
29593,96
29629,96
30515,96
30582,96
31712,96
31734,96
32025,96
11781,97
4216,98
681,99
1242,99
1804,99
1911,99
2481,99
2762,99
3633,99
5683,99
5724,99
6130,99
7245,99
8188,99
8225,99
13028,99
13925,99
14126,99
16478,99
16566,99
19431,99
21005,99
21845,99
21872,99
23079,99
23086,99
25928,99
27601,99
27740,99
29339,99
29822,99
30181,99
31653,99
26359,100
558,101
7501,101
8372,101
11338,101
24046,101
27576,101
1375,102
2060,102
4931,102
9437,102
11099,102
12010,102
13036,102
14937,102
16788,102
17733,102
20035,102
23176,102
26191,102
27221,102
31053,102
5512,103
1755,104
4594,104
12324,104
13071,104
14356,104
16016,104
30095,104
31443,104
6723,105
7093,105
10870,105
14549,105
20843,105
23334,105
27229,105
9024,106
14883,106
235,107
311,107
415,107
460,107
1761,107
1767,107
2296,107
2955,107
3925,107
4881,107
5420,107
7307,107
7499,107
8541,107
9566,107
10984,107
11273,107
12497,107
13944,107
15017,107
16707,107
18060,107
19215,107
19792,107
19980,107
20437,107
20541,107
21409,107
23836,107
25067,107
25318,107
26736,107
29686,107
30250,107
30569,107
31460,107
12210,108
28377,108
76,109
6933,109
7164,109
18044,109
18535,109
23117,109
26349,109
30207,109
3137,110
12220,110
15155,110
15207,110
15590,110
22153,110
23172,110
24137,110
27909,110
9349,111
20818,111
22122,111
22185,111
24144,111
25999,111
30740,111
663,112
7764,112
20932,112
25855,112
5036,113
15395,114
9721,115
17720,115
18293,115
24122,115
25376,115
26446,115
27829,115
213,116
578,116
964,116
1064,116
1472,116
3209,116
3284,116
4163,116
4526,116
4538,116
4634,116
6101,116
7032,116
7426,116
7725,116
8273,116
8333,116
8596,116
8855,116
9111,116
9258,116
9629,116
10206,116
10669,116
11032,116
12217,116
12649,116
13142,116
13239,116
13858,116
14101,116
14762,116
15483,116
16020,116
16817,116
16838,116
18239,116
18341,116
18927,116
19033,116
19968,116
20491,116
21266,116
22490,116
22699,116
22869,116
24102,116
24657,116
24705,116
24864,116
25589,116
26307,116
27903,116
29830,116
30808,116
31779,116
3889,117
27532,117
96,118
5122,118
6434,118
11987,118
14702,118
31301,119
1293,120
2005,120
15152,120
18264,120
20153,120
24917,120
30674,120
10567,121
10584,121
1229,122
1288,122
1573,122
2530,122
3694,122
4350,122
5388,122
5411,122
5834,122
6448,122
6659,122
7027,122
7090,122
7147,122
8180,122
8771,122
8952,122
9011,122
9245,122
9516,122
10859,122
11116,122
11385,122
11413,122
15227,122
15308,122
16511,122
16713,122
17325,122
17410,122
17787,122
17836,122
19275,122
19372,122
20415,122
20534,122
20869,122
22033,122
22963,122
23520,122
23636,122
24898,122
25005,122
25203,122
25215,122
25224,122
25339,122
26252,122
26390,122
27783,122
27837,122
28710,122
28991,122
30061,122
30636,122
31547,122
31635,122
689,123
1304,123
4303,123
4470,123
5053,123
6606,123
12639,123
12988,123
13164,123
15689,123
15846,123
19892,123
21378,123
22261,123
26980,123
15007,124
22110,125
11784,126
14861,126
96,127
364,127
643,127
1081,127
5100,127
6853,127
6867,127
6973,127
7131,127
12369,127
16691,127
17449,127
19997,127
20946,127
24487,127
28631,127
1392,128
2755,128
15130,128
20659,128
21056,128
27406,128
8295,129
8782,129
17509,129
18021,129
19773,129
24551,129
25395,129
30689,129
30766,129
200,130
5248,130
9372,130
9581,130
11271,130
13086,130
15476,130
17221,130
19291,130
19357,130
22344,130
22540,130
28569,130
29015,130
29262,130
4394,131
4434,131
9739,131
19435,131
22990,131
26146,131
29172,131
30296,131
11648,132
13413,132
20144,132
22154,132
24150,132
1512,133
1647,133
6426,133
9490,133
9599,133
10786,133
12366,133
13272,133
14610,133
15285,133
16165,133
19489,133
25082,133
25149,133
26316,133
29567,133
29742,133
32239,133
8088,134
8534,134
9006,134
9069,134
16334,134
17374,134
20723,134
20805,134
21258,134
21857,134
23600,134
26628,134
3716,135
11434,135
12355,135
24066,135
24636,135
4701,136
11797,137
6765,138
8161,138
15320,138
19531,138
23828,138
26671,138
27886,138
31870,138
23978,139
12246,140
19926,140
21443,140
5311,141
14276,141
431,142
3301,142
5609,142
5968,142
6704,142
7038,142
7492,142
12490,142
20738,142
24112,142
25576,142
26051,142
27297,142
27624,142
31298,142
32300,142
29,143
15399,143
17252,143
20497,143
311,144
1761,144
2240,144
2315,144
3655,144
4772,144
8182,144
8570,144
9566,144
9802,144
10718,144
17297,144
17986,144
20274,144
20849,144
21964,144
24010,144
24536,144
25805,144
26604,144
28210,144
28962,144
311,145
608,145
1276,145
2978,145
3793,145
