user,lang,langnum
310,IT,8
311,ZH,20
312,ES,4
313,TR,19
314,ES,4
315,DE,3
316,FR,6
317,RU,16
318,FR,6
319,DE,3
320,ZH,20
321,DE,3
322,RU,16
323,OTHER,13
324,FR,6
325,DE,3
326,DA,2
327,FR,6
328,DE,3
329,RU,16
330,DE,3
331,FR,6
332,ZH,20
333,ES,4
334,FR,6
335,DA,2
336,PL,14
337,RU,16
338,ES,4
339,DE,3
340,JA,9
341,FR,6
342,FR,6
343,DE,3
344,ES,4
345,DE,3
346,PT,15
347,DE,3
348,FR,6
349,FR,6
350,FR,6
351,FR,6
352,KO,10
353,ZH,20
354,FR,6
355,TH,18
356,KO,10
357,DE,3
358,ZH,20
359,ZH,20
360,FR,6
361,ZH,20
362,RU,16
363,FR,6
364,ES,4
365,ES,4
366,JA,9
367,ES,4
368,DE,3
369,DE,3
370,DE,3
371,TR,19
372,PT,15
373,DE,3
374,ZH,20
375,TR,19
376,PL,14
377,ZH,20
378,DE,3
379,DE,3
380,SV,17
381,DE,3
382,CS,1
383,RU,16
384,HU,7
385,SV,17
386,RU,16
387,DE,3
388,ES,4
389,RU,16
390,DE,3
391,PT,15
392,FR,6
393,PT,15
394,KO,10
395,KO,10
396,ZH,20
397,SV,17
398,KO,10
399,RU,16
400,DE,3
401,FR,6
402,FR,6
403,SV,17
404,OTHER,13
405,DE,3
406,DE,3
407,DE,3
408,PL,14
409,ES,4
410,DE,3
411,FR,6
412,IT,8
413,FR,6
414,ES,4
415,ZH,20
416,ES,4
417,DE,3
418,FR,6
419,FR,6
420,FR,6
421,RU,16
422,RU,16
423,JA,9
424,DE,3
425,PT,15
426,SV,17
427,HU,7
428,DE,3
429,FR,6
430,KO,10
431,PT,15
432,ZH,20
433,DA,2
434,RU,16
435,NL,11
436,TR,19
437,DE,3
438,PT,15
439,FR,6
440,IT,8
441,DE,3
442,DE,3
443,ES,4
444,PT,15
445,RU,16
446,IT,8
447,FR,6
448,PT,15
449,TR,19
450,ZH,20
451,FR,6
452,IT,8
453,PT,15
454,FR,6
455,FR,6
456,KO,10
457,DE,3
458,ZH,20
459,RU,16
460,ZH,20
461,FR,6
462,CS,1
463,IT,8
464,ES,4
465,PT,15
466,PT,15
467,PT,15
468,DE,3
469,FR,6
470,ES,4
471,ZH,20
472,IT,8
473,KO,10
474,FR,6
475,ES,4
476,DE,3
477,FR,6
478,DE,3
479,FR,6
480,DE,3
481,DE,3
482,ES,4
483,ES,4
484,PT,15
485,DE,3
486,DE,3
487,CS,1
488,DE,3
489,RU,16
490,DE,3
491,ZH,20
492,DE,3
493,ES,4
494,HU,7
495,DE,3
496,RU,16
497,FR,6
498,FR,6
499,DE,3
500,DE,3
501,DE,3
502,RU,16
503,ZH,20
504,ES,4
505,JA,9
506,PT,15
507,SV,17
508,ES,4
509,DE,3
510,DE,3
511,DE,3
512,DE,3
513,RU,16
514,ES,4
515,FR,6
516,PT,15
517,ZH,20
518,DE,3
519,ES,4
520,KO,10
521,DE,3
522,RU,16
523,ES,4
524,FR,6
525,ZH,20
526,ES,4
527,ES,4
528,CS,1
529,PT,15
530,RU,16
531,PT,15
532,ES,4
533,PT,15
534,IT,8
535,KO,10
536,DE,3
537,DE,3
538,RU,16
539,OTHER,13
540,IT,8
541,DE,3
542,PT,15
543,FR,6
544,FR,6
545,FR,6
546,ES,4
547,ZH,20
548,PT,15
549,HU,7
550,DE,3
551,DE,3
552,ES,4
553,RU,16
554,DE,3
555,DE,3
556,DE,3
557,DE,3
558,FR,6
559,FR,6
560,FR,6
561,JA,9
562,FR,6
563,PT,15
564,RU,16
565,IT,8
566,RU,16
567,RU,16
568,ES,4
569,NL,11
570,ZH,20
571,PL,14
572,DE,3
573,ZH,20
574,ZH,20
575,FR,6
576,FR,6
577,DE,3
578,DE,3
579,DA,2
580,IT,8
581,PT,15
582,DE,3
583,RU,16
584,ES,4
585,RU,16
586,ZH,20
587,DE,3
588,DE,3
589,FI,5
590,HU,7
591,DE,3
592,NL,11
593,ES,4
594,DE,3
595,ES,4
596,FR,6
597,ZH,20
598,DE,3
599,ES,4
600,FR,6
601,DE,3
602,DE,3
603,ES,4
604,ZH,20
605,PT,15
606,TR,19
607,ZH,20
608,DE,3
609,ES,4
610,ZH,20
611,CS,1
612,RU,16
613,FR,6
614,RU,16
615,CS,1
616,JA,9
617,DE,3
618,PT,15
619,KO,10
620,FR,6
621,ZH,20
622,RU,16
623,RU,16
624,DE,3
625,ZH,20
626,DE,3
627,OTHER,13
628,RU,16
629,FR,6
630,TR,19
631,ES,4
632,RU,16
633,DE,3
634,ZH,20
635,ES,4
636,FR,6
637,RU,16
638,DE,3
639,RU,16
640,ES,4
641,DE,3
642,FR,6
643,ES,4
644,DA,2
645,DE,3
646,ZH,20
647,IT,8
648,DE,3
649,TR,19
650,ES,4
651,ZH,20
652,RU,16
653,RU,16
654,FR,6
655,SV,17
656,DE,3
657,DE,3
658,ZH,20
659,ES,4
660,DE,3
661,FR,6
662,ZH,20
663,ES,4
664,KO,10
665,FI,5
666,FR,6
667,DE,3
668,DE,3
669,FR,6
670,FR,6
671,FR,6
672,DE,3
673,NL,11
674,KO,10
675,ES,4
676,PT,15
677,FR,6
678,DE,3
679,DE,3
680,ZH,20
681,DE,3
682,DE,3
683,FR,6
684,ES,4
685,RU,16
686,FR,6
687,DE,3
688,RU,16
689,DE,3
690,DE,3
691,FR,6
692,DE,3
693,RU,16
694,ES,4
695,PT,15
696,PT,15
697,ZH,20
698,PL,14
699,FR,6
700,ZH,20
701,DE,3
702,ES,4
703,DE,3
704,DE,3
705,CS,1
706,ZH,20
707,SV,17
708,DE,3
709,JA,9
710,DE,3
711,PT,15
712,FR,6
713,HU,7
714,DE,3
715,ZH,20
716,KO,10
717,NO,12
718,ES,4
719,PL,14
720,FR,6
721,ES,4
722,ES,4
723,FI,5
724,FR,6
725,FR,6
726,ES,4
727,NL,11
728,DE,3
729,DE,3
730,RU,16
731,ES,4
732,DE,3
733,RU,16
734,JA,9
735,ES,4
736,FR,6
737,JA,9
738,RU,16
739,RU,16
740,ES,4
741,ES,4
742,KO,10
743,DE,3
744,FR,6
745,ZH,20
746,DE,3
747,ZH,20
748,DE,3
749,RU,16
750,SV,17
751,DA,2
752,DE,3
753,ES,4
754,DE,3
755,DE,3
756,DE,3
757,DE,3
758,DE,3
759,FR,6
760,ES,4
761,IT,8
762,ZH,20
763,FR,6
764,ES,4
765,DE,3
766,FR,6
767,DE,3
768,ES,4
769,PT,15
770,DE,3
771,FR,6
772,RU,16
773,ES,4
774,ZH,20
775,ZH,20
776,RU,16
777,ES,4
778,NL,11
779,TR,19
780,DA,2
781,FR,6
782,DE,3
783,DE,3
784,DE,3
785,DE,3
786,DE,3
787,PT,15
788,FI,5
789,FR,6
790,SV,17
791,ZH,20
792,FI,5
793,DE,3
794,FR,6
795,FR,6
796,PT,15
797,DE,3
798,DE,3
799,ES,4
800,PT,15
801,PT,15
802,DE,3
803,DE,3
804,TR,19
805,IT,8
806,ES,4
807,DE,3
808,TR,19
809,ZH,20
810,DE,3
811,DE,3
812,DE,3
813,ES,4
814,ES,4
815,FR,6
816,PT,15
817,RU,16
818,FR,6
819,DE,3
820,DE,3
821,DE,3
822,FR,6
823,CS,1
824,FI,5
825,FR,6
826,DE,3
827,DE,3
828,ZH,20
829,DE,3
830,ES,4
831,FR,6
832,DE,3
833,DE,3
834,RU,16
835,DE,3
836,FR,6
837,FR,6
838,ES,4
839,RU,16
840,RU,16
841,DE,3
842,FR,6
843,FR,6
844,FR,6
845,ES,4
846,DE,3
847,DE,3
848,ZH,20
849,TR,19
850,DE,3
851,DE,3
852,ES,4
853,SV,17
854,KO,10
855,ZH,20
856,ZH,20
857,DE,3
858,ES,4
859,ES,4
860,FR,6
861,DA,2
862,DE,3
863,NL,11
864,FR,6
865,PL,14
866,ES,4
867,JA,9
868,PT,15
869,DE,3
870,ES,4
871,ES,4
872,DE,3
873,RU,16
874,TR,19
875,PL,14
876,JA,9
877,KO,10
878,DE,3
879,ZH,20
880,ES,4
881,FR,6
882,ZH,20
883,ES,4
884,ES,4
885,KO,10
886,DE,3
887,DE,3
888,FR,6
889,ZH,20
890,FR,6
891,DE,3
892,DE,3
893,DA,2
894,HU,7
895,DE,3
896,FR,6
897,ES,4
898,RU,16
899,RU,16
900,ES,4
901,DE,3
902,PT,15
903,JA,9
904,KO,10
905,ES,4
906,RU,16
907,PL,14
908,FI,5
909,FI,5
910,ZH,20
911,PT,15
912,JA,9
913,ES,4
914,FR,6
915,NO,12
916,NO,12
917,DE,3
918,RU,16
919,DE,3
920,FI,5
921,ES,4
922,CS,1
923,ZH,20
924,HU,7
925,RU,16
926,ZH,20
927,RU,16
928,IT,8
929,JA,9
930,FR,6
931,DE,3
932,PT,15
933,FR,6
934,ZH,20
935,ES,4
936,IT,8
937,PL,14
938,ZH,20
939,DE,3
940,ZH,20
941,PT,15
942,PT,15
943,ES,4
944,KO,10
945,TR,19
946,PT,15
947,FR,6
948,PT,15
949,TR,19
950,DE,3
951,RU,16
952,DE,3
953,PL,14
954,FR,6
955,FR,6
956,IT,8
957,DE,3
958,RU,16
959,DE,3
960,JA,9
961,CS,1
962,KO,10
963,DE,3
964,DE,3
965,JA,9
966,DE,3
967,DE,3
968,DE,3
969,ZH,20
970,ES,4
971,ZH,20
972,FR,6
973,TR,19
974,DE,3
975,DE,3
976,DE,3
977,ES,4
978,DA,2
979,PT,15
980,ES,4
981,ZH,20
982,OTHER,13
983,DE,3
984,DE,3
985,DE,3
986,DE,3
987,FI,5
988,FR,6
989,ES,4
990,RU,16
991,SV,17
992,NL,11
993,ES,4
994,ES,4
995,ZH,20
996,DE,3
997,FR,6
998,FR,6
999,KO,10
1000,FR,6
1001,DA,2
1002,JA,9
1003,ZH,20
1004,ZH,20
1005,DE,3
1006,DE,3
1007,TR,19
1008,ZH,20
1009,FR,6
1010,FR,6
1011,ZH,20
1012,RU,16
1013,DE,3
1014,DE,3
1015,FR,6
1016,RU,16
1017,DE,3
1018,FR,6
1019,RU,16
1020,PT,15
1021,PT,15
1022,IT,8
1023,ES,4
1024,DE,3
1025,NL,11
1026,DE,3
1027,ES,4
1028,JA,9
1029,PT,15
1030,DE,3
1031,FR,6
1032,ES,4
1033,DE,3
1034,DE,3
1035,NL,11
1036,FR,6
1037,DE,3
1038,PT,15
1039,ES,4
1040,FR,6
1041,PT,15
1042,ES,4
1043,FR,6
1044,FR,6
1045,FR,6
1046,ZH,20
1047,FR,6
1048,DE,3
1049,RU,16
1050,DE,3
1051,FR,6
1052,DE,3
1053,FR,6
1054,DE,3
1055,ES,4
1056,FR,6
1057,DE,3
1058,DE,3
1059,ES,4
1060,FR,6
1061,JA,9
1062,TR,19
1063,RU,16
1064,DE,3
1065,ES,4
1066,DE,3
1067,DE,3
1068,PT,15
1069,ES,4
1070,DE,3
1071,PT,15
1072,RU,16
1073,TR,19
1074,PL,14
1075,FR,6
1076,FR,6
1077,DE,3
1078,DE,3
1079,DE,3
1080,ES,4
1081,ES,4
1082,RU,16
1083,FR,6
1084,FR,6
1085,HU,7
1086,PT,15
1087,RU,16
1088,DE,3
1089,DE,3
1090,IT,8
1091,ES,4
1092,ES,4
1093,ZH,20
1094,ES,4
1095,IT,8
1096,IT,8
1097,DE,3
1098,DE,3
1099,DE,3
1100,DE,3
1101,DE,3
1102,OTHER,13
1103,FR,6
1104,DE,3
1105,RU,16
1106,IT,8
1107,ES,4
1108,FR,6
1109,NL,11
1110,SV,17
1111,RU,16
1112,RU,16
1113,PL,14
1114,DE,3
1115,DE,3
1116,ES,4
1117,FR,6
1118,FR,6
1119,RU,16
1120,RU,16
1121,KO,10
1122,NL,11
1123,ES,4
1124,JA,9
1125,PT,15
1126,DE,3
1127,CS,1
1128,PT,15
1129,ES,4
1130,DE,3
1131,ES,4
1132,ZH,20
1133,PT,15
1134,SV,17
1135,ZH,20
1136,ES,4
1137,FI,5
1138,ES,4
1139,DA,2
1140,RU,16
1141,RU,16
1142,TH,18
1143,CS,1
1144,TR,19
1145,ES,4
1146,ES,4
1147,FI,5
1148,DE,3
1149,PT,15
1150,DE,3
1151,FR,6
1152,DE,3
1153,RU,16
1154,FR,6
1155,CS,1
1156,DE,3
1157,DE,3
1158,DE,3
1159,ES,4
1160,FR,6
1161,DE,3
1162,ZH,20
1163,ES,4
1164,ES,4
1165,RU,16
1166,ZH,20
1167,ZH,20
1168,ZH,20
1169,FR,6
1170,OTHER,13
1171,FI,5
1172,SV,17
1173,PT,15
1174,DE,3
1175,DE,3
1176,FR,6
1177,RU,16
1178,SV,17
1179,DE,3
1180,IT,8
1181,JA,9
1182,DE,3
1183,FR,6
1184,DE,3
1185,CS,1
1186,FR,6
1187,FR,6
1188,ZH,20
1189,JA,9
1190,FR,6
1191,FR,6
1192,FR,6
1193,FR,6
1194,FR,6
1195,DE,3
1196,DE,3
1197,CS,1
1198,DE,3
1199,DE,3
1200,DE,3
1201,FR,6
1202,DE,3
1203,FR,6
1204,FR,6
1205,ES,4
1206,ES,4
1207,DE,3
1208,DE,3
1209,TR,19
1210,FR,6
1211,FR,6
1212,IT,8
1213,RU,16
1214,FR,6
1215,DE,3
1216,FR,6
1217,ZH,20
1218,ES,4
1219,TR,19
1220,ZH,20
1221,ES,4
1222,RU,16
1223,DE,3
1224,ZH,20
1225,FI,5
1226,PT,15
1227,DE,3
1228,ZH,20
1229,DE,3
1230,FR,6
1231,DE,3
1232,FR,6
1233,ZH,20
1234,TH,18
1235,DE,3
1236,ZH,20
1237,RU,16
1238,ES,4
1239,DE,3
1240,RU,16
1241,KO,10
1242,DE,3
1243,RU,16
1244,RU,16
1245,PT,15
1246,ES,4
1247,PT,15
1248,FR,6
1249,RU,16
1250,ES,4
1251,ES,4
1252,ES,4
1253,ZH,20
1254,DE,3
1255,PT,15
1256,FI,5
1257,DE,3
1258,DE,3
1259,RU,16
1260,CS,1
1261,PT,15
1262,ES,4
1263,PL,14
1264,KO,10
1265,ES,4
1266,DE,3
1267,PT,15
1268,KO,10
1269,KO,10
1270,JA,9
1271,FR,6
1272,FR,6
1273,PT,15
1274,FR,6
1275,JA,9
1276,IT,8
1277,ZH,20
1278,DE,3
1279,PT,15
1280,DE,3
1281,FR,6
1282,DE,3
1283,FR,6
1284,PT,15
1285,DE,3
1286,DE,3
1287,DE,3
1288,DE,3
1289,RU,16
1290,JA,9
1291,IT,8
1292,ZH,20
1293,FR,6
1294,FR,6
1295,FR,6
1296,FR,6
1297,FI,5
1298,ES,4
1299,HU,7
1300,NL,11
1301,KO,10
1302,ZH,20
1303,NL,11
1304,DE,3
1305,ES,4
1306,DE,3
1307,FR,6
1308,DE,3
1309,NL,11
1310,TR,19
1311,TR,19
1312,PL,14
1313,FR,6
1314,DE,3
1315,FR,6
1316,DE,3
1317,SV,17
1318,IT,8
1319,SV,17
1320,IT,8
1321,FR,6
1322,FR,6
1323,ES,4
1324,HU,7
1325,CS,1
1326,FI,5
1327,PT,15
1328,ZH,20
1329,DE,3
1330,ES,4
1331,TR,19
1332,TH,18
1333,PT,15
1334,PT,15
1335,FR,6
1336,FR,6
1337,PT,15
1338,DE,3
1339,DE,3
1340,DE,3
1341,ES,4
1342,ES,4
1343,HU,7
1344,RU,16
1345,DE,3
1346,ES,4
1347,TR,19
1348,RU,16
1349,ES,4
1350,RU,16
1351,RU,16
1352,ES,4
1353,DE,3
1354,DE,3
1355,FI,5
1356,DA,2
1357,DE,3
1358,RU,16
1359,RU,16
1360,SV,17
1361,NL,11
1362,RU,16
1363,IT,8
1364,RU,16
1365,ES,4
1366,TR,19
1367,ES,4
1368,JA,9
1369,ES,4
1370,DE,3
1371,PT,15
1372,ES,4
1373,CS,1
1374,ES,4
1375,RU,16
1376,ES,4
1377,CS,1
1378,ES,4
1379,PL,14
1380,PL,14
1381,DE,3
1382,RU,16
1383,DE,3
1384,FR,6
1385,DE,3
1386,DE,3
1387,DE,3
1388,ES,4
1389,TR,19
1390,RU,16
1391,ZH,20
1392,DE,3
1393,JA,9
1394,SV,17
1395,DE,3
1396,DE,3
1397,ES,4
1398,FR,6
1399,JA,9
1400,ZH,20
1401,RU,16
1402,DE,3
1403,CS,1
1404,RU,16
1405,DE,3
1406,PT,15
1407,ES,4
1408,DE,3
1409,DE,3
1410,PL,14
1411,DE,3
1412,DE,3
1413,DE,3
1414,JA,9
1415,TH,18
1416,ZH,20
1417,FR,6
1418,ES,4
1419,DE,3
1420,DE,3
1421,DE,3
1422,NO,12
1423,DE,3
1424,ES,4
1425,ES,4
1426,DE,3
1427,KO,10
1428,FR,6
1429,RU,16
1430,RU,16
1431,ES,4
1432,PT,15
1433,PT,15
1434,DE,3
1435,RU,16
1436,ES,4
1437,ZH,20
1438,FR,6
1439,DE,3
1440,PL,14
1441,DE,3
1442,RU,16
1443,ES,4
1444,FI,5
1445,ES,4
1446,PT,15
1447,NL,11
1448,DE,3
1449,FR,6
1450,RU,16
1451,DE,3
1452,DE,3
1453,FR,6
1454,ZH,20
1455,ES,4
1456,FR,6
1457,ZH,20
1458,ES,4
1459,ZH,20
1460,ES,4
1461,FI,5
1462,ES,4
1463,ES,4
1464,RU,16
1465,KO,10
1466,FR,6
1467,PL,14
1468,ZH,20
1469,ES,4
1470,RU,16
1471,FI,5
1472,DE,3
1473,ZH,20
1474,RU,16
1475,ES,4
1476,FR,6
1477,ES,4
1478,FR,6
1479,PL,14
1480,FR,6
1481,FI,5
1482,DE,3
1483,PT,15
1484,DE,3
1485,DE,3
1486,DE,3
1487,FR,6
1488,JA,9
1489,IT,8
1490,DE,3
1491,RU,16
1492,ES,4
1493,ES,4
1494,PL,14
1495,FI,5
1496,ES,4
1497,ZH,20
1498,TR,19
1499,ES,4
1500,DE,3
1501,DE,3
1502,DE,3
1503,JA,9
1504,IT,8
1505,ES,4
1506,TR,19
1507,ZH,20
1508,ZH,20
1509,PT,15
1510,FR,6
1511,DE,3
1512,ZH,20
1513,RU,16
1514,RU,16
1515,ZH,20
1516,RU,16
1517,DE,3
1518,DE,3
1519,DE,3
1520,TR,19
1521,RU,16
1522,PT,15
1523,PT,15
1524,DE,3
1525,ES,4
1526,PL,14
1527,PT,15
1528,KO,10
1529,DE,3
1530,FR,6
1531,PT,15
1532,SV,17
1533,DE,3
1534,RU,16
1535,PT,15
1536,PL,14
1537,DE,3
1538,NL,11
1539,FR,6
1540,DE,3
1541,ZH,20
1542,ES,4
1543,ES,4
1544,RU,16
1545,DE,3
1546,RU,16
1547,PT,15
1548,RU,16
1549,DE,3
1550,DE,3
1551,FR,6
1552,TR,19
1553,ZH,20
1554,DE,3
1555,FR,6
1556,ES,4
1557,DE,3
1558,DE,3
1559,DE,3
1560,ES,4
1561,SV,17
1562,ES,4
1563,ES,4
1564,ES,4
1565,DE,3
1566,RU,16
1567,FR,6
1568,KO,10
1569,FR,6
1570,FR,6
1571,FR,6
1572,DE,3
1573,CS,1
1574,FR,6
1575,JA,9
1576,IT,8
1577,DA,2
1578,HU,7
1579,PT,15
1580,ES,4
1581,KO,10
1582,JA,9
1583,DE,3
1584,DE,3
1585,ES,4
1586,DE,3
1587,SV,17
1588,PT,15
1589,RU,16
1590,ZH,20
1591,FR,6
1592,NL,11
1593,FI,5
1594,DE,3
1595,DE,3
1596,FR,6
1597,HU,7
1598,ZH,20
1599,PT,15
1600,FR,6
1601,ZH,20
1602,RU,16
1603,ES,4
1604,ES,4
1605,PT,15
1606,RU,16
1607,RU,16
1608,RU,16
1609,PT,15
1610,DE,3
1611,ES,4
1612,ZH,20
1613,ES,4
1614,ES,4
1615,DE,3
1616,RU,16
1617,RU,16
1618,RU,16
1619,IT,8
1620,FR,6
1621,FR,6
1622,ZH,20
1623,DE,3
1624,TR,19
1625,ES,4
1626,DE,3
1627,JA,9
1628,DE,3
1629,FR,6
1630,TH,18
1631,KO,10
1632,ZH,20
1633,DE,3
1634,JA,9
1635,HU,7
1636,ZH,20
1637,DE,3
1638,FR,6
1639,PT,15
1640,SV,17
1641,ES,4
1642,ES,4
1643,FI,5
1644,ES,4
1645,TH,18
1646,DE,3
1647,ZH,20
1648,ES,4
1649,DE,3
1650,DE,3
1651,FR,6
1652,DE,3
1653,FR,6
1654,DE,3
1655,DE,3
1656,SV,17
1657,ES,4
1658,DE,3
1659,ES,4
1660,PT,15
1661,DE,3
1662,FI,5
1663,RU,16
1664,FI,5
1665,PL,14
1666,RU,16
1667,FR,6
1668,FR,6
1669,TH,18
1670,DE,3
1671,ES,4
1672,RU,16
1673,RU,16
1674,FR,6
1675,ZH,20
1676,NL,11
1677,NL,11
1678,DE,3
1679,FR,6
1680,DE,3
1681,DE,3
1682,SV,17
1683,DE,3
1684,ES,4
1685,FR,6
1686,DE,3
1687,DE,3
1688,FR,6
1689,ES,4
1690,FR,6
1691,RU,16
1692,PL,14
1693,PT,15
1694,ES,4
1695,DE,3
1696,FR,6
1697,ES,4
1698,ES,4
1699,FR,6
1700,DE,3
1701,FR,6
1702,FR,6
1703,IT,8
1704,FR,6
1705,FR,6
1706,PT,15
1707,NO,12
1708,ZH,20
1709,ZH,20
1710,ZH,20
1711,DE,3
1712,NO,12
1713,DE,3
1714,FR,6
1715,ES,4
1716,ZH,20
1717,RU,16
1718,ZH,20
1719,DE,3
1720,JA,9
1721,ES,4
1722,FR,6
1723,TH,18
1724,SV,17
1725,DE,3
1726,PL,14
1727,PL,14
1728,DE,3
1729,RU,16
1730,RU,16
1731,DE,3
1732,DE,3
1733,DE,3
1734,DE,3
1735,FR,6
1736,CS,1
1737,PT,15
1738,IT,8
1739,DE,3
1740,OTHER,13
1741,DE,3
1742,DE,3
1743,OTHER,13
1744,DE,3
1745,SV,17
1746,ES,4
1747,DE,3
1748,DE,3
1749,DE,3
1750,ES,4
1751,PT,15
1752,DE,3
1753,IT,8
1754,DE,3
1755,NL,11
1756,FR,6
1757,RU,16
1758,DE,3
1759,DE,3
1760,ES,4
1761,ZH,20
1762,RU,16
1763,PT,15
1764,FR,6
1765,FR,6
1766,ZH,20
1767,ZH,20
1768,DE,3
1769,RU,16
1770,FI,5
1771,DE,3
1772,ES,4
1773,ES,4
1774,DE,3
1775,ZH,20
1776,RU,16
1777,ES,4
1778,DE,3
1779,ES,4
1780,RU,16
1781,FR,6
1782,FR,6
1783,ES,4
1784,NL,11
1785,IT,8
1786,DE,3
1787,RU,16
1788,DE,3
1789,IT,8
1790,FR,6
1791,ES,4
1792,FR,6
1793,FR,6
1794,RU,16
1795,DE,3
1796,DE,3
1797,PL,14
1798,FR,6
1799,PT,15
1800,FR,6
1801,ES,4
1802,DE,3
1803,ES,4
1804,DE,3
1805,ZH,20
1806,RU,16
1807,TR,19
1808,JA,9
1809,DE,3
1810,RU,16
1811,FR,6
1812,PT,15
1813,PT,15
1814,ES,4
1815,DE,3
1816,PT,15
1817,DE,3
1818,DE,3
1819,DE,3
1820,DE,3
1821,OTHER,13
1822,RU,16
1823,DE,3
1824,ZH,20
1825,PT,15
1826,PT,15
1827,TH,18
1828,ES,4
1829,RU,16
1830,RU,16
1831,PL,14
1832,DE,3
1833,ZH,20
1834,ES,4
1835,ES,4
1836,DE,3
1837,RU,16
1838,SV,17
1839,FR,6
1840,NO,12
1841,DE,3
1842,DE,3
1843,PT,15
1844,ZH,20
1845,IT,8
1846,DA,2
1847,NL,11
1848,RU,16
1849,DE,3
1850,ZH,20
1851,DE,3
