i,j,x
74,73,TRUE
210,73,TRUE
319,73,TRUE
681,73,TRUE
73,74,TRUE
76,74,TRUE
92,74,TRUE
319,74,TRUE
403,74,TRUE
681,74,TRUE
325,75,TRUE
855,75,TRUE
1133,75,TRUE
74,76,TRUE
210,76,TRUE
319,76,TRUE
1106,76,TRUE
345,77,TRUE
398,77,TRUE
678,77,TRUE
734,77,TRUE
962,77,TRUE
2301,78,TRUE
3566,78,TRUE
1132,79,TRUE
3348,79,TRUE
481,80,TRUE
659,80,TRUE
818,80,TRUE
87,81,TRUE
88,81,TRUE
565,81,TRUE
714,81,TRUE
175,82,TRUE
176,82,TRUE
851,84,TRUE
978,85,TRUE
2407,85,TRUE
1034,86,TRUE
81,87,TRUE
88,87,TRUE
565,87,TRUE
858,87,TRUE
81,88,TRUE
87,88,TRUE
325,88,TRUE
565,88,TRUE
855,88,TRUE
858,88,TRUE
724,89,TRUE
1369,89,TRUE
1936,89,TRUE
2662,89,TRUE
2740,89,TRUE
2958,89,TRUE
269,90,TRUE
1602,91,TRUE
74,92,TRUE
275,92,TRUE
291,92,TRUE
403,92,TRUE
404,92,TRUE
677,92,TRUE
689,92,TRUE
3398,92,TRUE
906,93,TRUE
1014,93,TRUE
1801,93,TRUE
2212,93,TRUE
2342,93,TRUE
2952,93,TRUE
95,94,TRUE
94,95,TRUE
759,95,TRUE
104,96,TRUE
207,96,TRUE
516,97,TRUE
99,98,TRUE
1783,98,TRUE
98,99,TRUE
3055,99,TRUE
124,100,TRUE
1494,100,TRUE
1773,100,TRUE
1837,100,TRUE
1838,100,TRUE
1524,102,TRUE
409,103,TRUE
534,103,TRUE
824,103,TRUE
96,104,TRUE
207,104,TRUE
2136,106,TRUE
1292,108,TRUE
2410,108,TRUE
3585,110,TRUE
706,111,TRUE
793,111,TRUE
856,111,TRUE
1172,111,TRUE
1438,111,TRUE
2257,111,TRUE
2411,111,TRUE
138,113,TRUE
197,113,TRUE
198,113,TRUE
1561,113,TRUE
1677,113,TRUE
1784,113,TRUE
2459,113,TRUE
2058,114,TRUE
124,115,TRUE
1043,115,TRUE
1364,115,TRUE
1863,116,TRUE
1816,118,TRUE
3275,118,TRUE
1401,119,TRUE
580,120,TRUE
2070,120,TRUE
2135,120,TRUE
3017,120,TRUE
3237,120,TRUE
3932,120,TRUE
1399,121,TRUE
366,122,TRUE
553,122,TRUE
13,124,TRUE
100,124,TRUE
115,124,TRUE
142,124,TRUE
147,124,TRUE
159,124,TRUE
250,124,TRUE
551,124,TRUE
999,124,TRUE
1016,124,TRUE
1363,124,TRUE
1438,124,TRUE
1494,124,TRUE
1784,124,TRUE
1822,124,TRUE
1823,124,TRUE
1830,124,TRUE
2249,124,TRUE
2271,124,TRUE
2583,124,TRUE
2624,124,TRUE
2625,124,TRUE
2687,124,TRUE
3132,124,TRUE
3153,124,TRUE
1411,125,TRUE
1650,125,TRUE
3304,125,TRUE
405,130,TRUE
1698,132,TRUE
306,133,TRUE
1793,133,TRUE
758,134,TRUE
3990,135,TRUE
138,137,TRUE
113,138,TRUE
137,138,TRUE
1561,138,TRUE
3850,138,TRUE
1069,139,TRUE
1122,139,TRUE
2461,139,TRUE
2653,140,TRUE
13,142,TRUE
124,142,TRUE
250,142,TRUE
551,142,TRUE
1016,142,TRUE
1784,142,TRUE
1822,142,TRUE
1823,142,TRUE
1830,142,TRUE
2249,142,TRUE
3153,142,TRUE
978,144,TRUE
2369,144,TRUE
2606,144,TRUE
2318,145,TRUE
154,146,TRUE
1363,146,TRUE
1418,146,TRUE
1438,146,TRUE
2377,146,TRUE
2699,146,TRUE
21,147,TRUE
124,147,TRUE
1363,147,TRUE
1364,147,TRUE
1416,147,TRUE
2311,147,TRUE
1176,148,TRUE
1537,148,TRUE
2204,148,TRUE
2338,148,TRUE
3459,148,TRUE
3501,149,TRUE
157,150,TRUE
233,150,TRUE
325,150,TRUE
1561,150,TRUE
1673,150,TRUE
1817,150,TRUE
1514,151,TRUE
676,152,TRUE
877,152,TRUE
669,153,TRUE
2163,153,TRUE
3670,153,TRUE
146,154,TRUE
1014,154,TRUE
1363,154,TRUE
1364,154,TRUE
1438,154,TRUE
1772,154,TRUE
1784,154,TRUE
1882,154,TRUE
2068,154,TRUE
2324,154,TRUE
2429,154,TRUE
2687,154,TRUE
3162,154,TRUE
1016,155,TRUE
1363,155,TRUE
1438,155,TRUE
1480,156,TRUE
2314,156,TRUE
2411,156,TRUE
2450,156,TRUE
2711,156,TRUE
150,157,TRUE
233,157,TRUE
325,157,TRUE
1561,157,TRUE
1673,157,TRUE
2237,157,TRUE
3535,157,TRUE
3835,157,TRUE
187,158,TRUE
199,158,TRUE
200,158,TRUE
1016,158,TRUE
1029,158,TRUE
1430,158,TRUE
1826,158,TRUE
1978,158,TRUE
2394,158,TRUE
2400,158,TRUE
124,159,TRUE
250,159,TRUE
665,159,TRUE
666,159,TRUE
1438,159,TRUE
1466,159,TRUE
2024,159,TRUE
3132,159,TRUE
3872,159,TRUE
3873,159,TRUE
1579,160,TRUE
386,161,TRUE
1016,161,TRUE
1290,161,TRUE
1360,161,TRUE
1405,161,TRUE
1808,161,TRUE
1859,161,TRUE
2314,161,TRUE
2903,161,TRUE
43,162,TRUE
1071,162,TRUE
1494,162,TRUE
1878,162,TRUE
2116,162,TRUE
2648,162,TRUE
2891,162,TRUE
2892,162,TRUE
3112,162,TRUE
170,163,TRUE
43,164,TRUE
692,164,TRUE
1063,164,TRUE
1064,164,TRUE
21,165,TRUE
65,165,TRUE
1494,165,TRUE
48,166,TRUE
2964,166,TRUE
975,167,TRUE
1016,167,TRUE
983,168,TRUE
985,168,TRUE
1746,168,TRUE
2100,168,TRUE
2286,168,TRUE
2559,168,TRUE
31,169,TRUE
1572,169,TRUE
1574,169,TRUE
1575,169,TRUE
1724,169,TRUE
163,170,TRUE
1101,173,TRUE
1498,173,TRUE
82,175,TRUE
176,175,TRUE
82,176,TRUE
175,176,TRUE
177,176,TRUE
176,177,TRUE
3299,178,TRUE
3300,178,TRUE
1337,179,TRUE
1442,179,TRUE
2533,179,TRUE
2947,182,TRUE
186,185,TRUE
185,186,TRUE
158,187,TRUE
1029,187,TRUE
1833,188,TRUE
415,190,TRUE
1334,190,TRUE
295,191,TRUE
213,192,TRUE
3193,193,TRUE
548,194,TRUE
793,194,TRUE
1332,194,TRUE
1363,194,TRUE
1442,194,TRUE
1524,194,TRUE
1656,194,TRUE
1957,194,TRUE
1961,194,TRUE
1972,194,TRUE
1973,194,TRUE
2003,194,TRUE
2004,194,TRUE
2005,194,TRUE
2080,194,TRUE
2123,194,TRUE
2287,194,TRUE
2301,194,TRUE
2522,194,TRUE
2561,194,TRUE
2731,194,TRUE
2737,194,TRUE
2738,194,TRUE
2743,194,TRUE
2794,194,TRUE
2925,194,TRUE
2929,194,TRUE
2971,194,TRUE
3021,194,TRUE
3063,194,TRUE
3119,194,TRUE
3165,194,TRUE
3237,194,TRUE
3488,194,TRUE
3510,194,TRUE
3763,194,TRUE
1016,195,TRUE
1902,195,TRUE
3061,195,TRUE
3153,195,TRUE
3203,195,TRUE
1272,196,TRUE
3058,196,TRUE
113,197,TRUE
198,197,TRUE
325,197,TRUE
1069,197,TRUE
1674,197,TRUE
113,198,TRUE
197,198,TRUE
325,198,TRUE
1044,198,TRUE
1069,198,TRUE
1122,198,TRUE
1509,198,TRUE
1561,198,TRUE
1674,198,TRUE
1784,198,TRUE
1817,198,TRUE
2460,198,TRUE
3648,198,TRUE
3886,198,TRUE
158,199,TRUE
238,199,TRUE
1142,199,TRUE
1313,199,TRUE
1399,199,TRUE
1826,199,TRUE
1978,199,TRUE
158,200,TRUE
211,201,TRUE
987,201,TRUE
1288,201,TRUE
2563,201,TRUE
1925,202,TRUE
51,205,TRUE
1472,205,TRUE
96,207,TRUE
104,207,TRUE
1826,208,TRUE
3200,208,TRUE
73,210,TRUE
76,210,TRUE
935,210,TRUE
201,211,TRUE
1855,212,TRUE
2309,212,TRUE
192,213,TRUE
3632,214,TRUE
226,215,TRUE
1368,215,TRUE
1405,215,TRUE
1499,215,TRUE
2102,215,TRUE
2823,215,TRUE
3298,215,TRUE
3968,215,TRUE
31,216,TRUE
2004,218,TRUE
2287,218,TRUE
2436,218,TRUE
2669,218,TRUE
2955,218,TRUE
3997,219,TRUE
2995,220,TRUE
2245,221,TRUE
2265,221,TRUE
3153,222,TRUE
356,223,TRUE
215,226,TRUE
1290,226,TRUE
1420,226,TRUE
2837,226,TRUE
325,228,TRUE
1561,228,TRUE
2237,228,TRUE
1510,230,TRUE
2145,230,TRUE
2455,230,TRUE
2765,230,TRUE
2792,230,TRUE
71,233,TRUE
150,233,TRUE
157,233,TRUE
325,233,TRUE
1047,233,TRUE
1561,233,TRUE
1673,233,TRUE
1674,233,TRUE
1817,233,TRUE
1818,233,TRUE
3100,233,TRUE
242,236,TRUE
706,236,TRUE
2301,236,TRUE
2411,236,TRUE
2454,236,TRUE
2801,236,TRUE
3182,236,TRUE
3647,236,TRUE
310,237,TRUE
1820,237,TRUE
1846,237,TRUE
1864,237,TRUE
1865,237,TRUE
199,238,TRUE
1278,239,TRUE
3126,239,TRUE
1303,240,TRUE
2046,240,TRUE
2393,241,TRUE
236,242,TRUE
384,242,TRUE
415,242,TRUE
3887,242,TRUE
880,244,TRUE
1452,244,TRUE
2300,244,TRUE
1305,245,TRUE
1478,245,TRUE
3152,245,TRUE
247,246,TRUE
923,246,TRUE
246,247,TRUE
721,247,TRUE
842,247,TRUE
843,247,TRUE
923,247,TRUE
349,248,TRUE
1112,248,TRUE
385,249,TRUE
759,249,TRUE
1064,249,TRUE
1158,249,TRUE
124,250,TRUE
142,250,TRUE
159,250,TRUE
1363,250,TRUE
1438,250,TRUE
1455,250,TRUE
1784,250,TRUE
1823,250,TRUE
3132,250,TRUE
2288,251,TRUE
3242,251,TRUE
37,252,TRUE
1384,252,TRUE
581,253,TRUE
1457,253,TRUE
1955,253,TRUE
1228,255,TRUE
2087,255,TRUE
1764,256,TRUE
1626,258,TRUE
1915,259,TRUE
1248,261,TRUE
1363,262,TRUE
1561,262,TRUE
2962,262,TRUE
265,264,TRUE
1995,264,TRUE
264,265,TRUE
881,266,TRUE
268,267,TRUE
269,267,TRUE
267,268,TRUE
269,268,TRUE
368,268,TRUE
90,269,TRUE
267,269,TRUE
268,269,TRUE
1026,269,TRUE
306,270,TRUE
311,270,TRUE
418,270,TRUE
421,270,TRUE
557,270,TRUE
616,270,TRUE
701,270,TRUE
833,270,TRUE
2115,270,TRUE
767,272,TRUE
275,274,TRUE
92,275,TRUE
274,275,TRUE
689,275,TRUE
816,275,TRUE
278,277,TRUE
2092,277,TRUE
277,278,TRUE
367,278,TRUE
580,278,TRUE
1604,278,TRUE
1700,278,TRUE
2092,278,TRUE
3992,278,TRUE
379,279,TRUE
382,279,TRUE
1562,282,TRUE
1749,282,TRUE
744,283,TRUE
1604,287,TRUE
290,288,TRUE
892,288,TRUE
288,290,TRUE
309,290,TRUE
343,290,TRUE
573,290,TRUE
833,290,TRUE
834,290,TRUE
92,291,TRUE
191,295,TRUE
953,296,TRUE
346,297,TRUE
2859,297,TRUE
934,298,TRUE
332,299,TRUE
776,299,TRUE
2899,299,TRUE
846,300,TRUE
133,306,TRUE
270,306,TRUE
592,306,TRUE
290,309,TRUE
310,309,TRUE
343,309,TRUE
392,309,TRUE
564,309,TRUE
829,309,TRUE
833,309,TRUE
834,309,TRUE
982,309,TRUE
237,310,TRUE
309,310,TRUE
1180,310,TRUE
1846,310,TRUE
1864,310,TRUE
1865,310,TRUE
270,311,TRUE
506,311,TRUE
637,311,TRUE
1325,311,TRUE
3385,311,TRUE
313,312,TRUE
312,313,TRUE
315,314,TRUE
316,314,TRUE
314,315,TRUE
316,315,TRUE
720,315,TRUE
314,316,TRUE
315,316,TRUE
720,316,TRUE
1205,317,TRUE
327,318,TRUE
502,318,TRUE
906,318,TRUE
991,318,TRUE
3249,318,TRUE
3254,318,TRUE
73,319,TRUE
74,319,TRUE
76,319,TRUE
377,319,TRUE
378,319,TRUE
397,319,TRUE
407,319,TRUE
598,319,TRUE
639,319,TRUE
675,319,TRUE
759,319,TRUE
1114,319,TRUE
323,320,TRUE
456,320,TRUE
620,320,TRUE
322,321,TRUE
669,321,TRUE
321,322,TRUE
320,323,TRUE
548,323,TRUE
2474,323,TRUE
3190,323,TRUE
3389,323,TRUE
71,325,TRUE
75,325,TRUE
88,325,TRUE
150,325,TRUE
157,325,TRUE
197,325,TRUE
198,325,TRUE
228,325,TRUE
233,325,TRUE
437,325,TRUE
722,325,TRUE
776,325,TRUE
855,325,TRUE
975,325,TRUE
999,325,TRUE
1047,325,TRUE
1069,325,TRUE
1119,325,TRUE
1125,325,TRUE
1363,325,TRUE
1561,325,TRUE
1573,325,TRUE
1661,325,TRUE
1673,325,TRUE
1674,325,TRUE
1817,325,TRUE
1870,325,TRUE
2373,325,TRUE
3053,325,TRUE
3069,325,TRUE
3100,325,TRUE
3102,325,TRUE
3267,325,TRUE
3648,325,TRUE
3875,325,TRUE
318,327,TRUE
894,327,TRUE
1005,327,TRUE
3249,327,TRUE
331,330,TRUE
1786,330,TRUE
1870,330,TRUE
1984,330,TRUE
3473,330,TRUE
3551,330,TRUE
330,331,TRUE
299,332,TRUE
824,334,TRUE
1657,334,TRUE
769,336,TRUE
343,338,TRUE
701,338,TRUE
391,339,TRUE
4,340,TRUE
851,340,TRUE
2647,340,TRUE
343,342,TRUE
290,343,TRUE
309,343,TRUE
338,343,TRUE
342,343,TRUE
701,343,TRUE
833,343,TRUE
834,343,TRUE
563,344,TRUE
77,345,TRUE
529,345,TRUE
646,345,TRUE
297,346,TRUE
2859,346,TRUE
349,347,TRUE
352,347,TRUE
417,348,TRUE
905,348,TRUE
248,349,TRUE
347,349,TRUE
352,349,TRUE
944,349,TRUE
1112,349,TRUE
351,350,TRUE
350,351,TRUE
347,352,TRUE
349,352,TRUE
3400,355,TRUE
223,356,TRUE
359,358,TRUE
358,359,TRUE
533,359,TRUE
595,359,TRUE
3185,360,TRUE
721,361,TRUE
964,361,TRUE
1364,361,TRUE
2236,361,TRUE
2322,361,TRUE
2845,361,TRUE
983,362,TRUE
2730,363,TRUE
1070,365,TRUE
122,366,TRUE
368,366,TRUE
473,366,TRUE
531,366,TRUE
657,366,TRUE
824,366,TRUE
278,367,TRUE
580,367,TRUE
268,368,TRUE
366,368,TRUE
396,368,TRUE
422,368,TRUE
873,368,TRUE
874,368,TRUE
942,368,TRUE
567,369,TRUE
568,369,TRUE
422,370,TRUE
72,374,TRUE
876,374,TRUE
815,375,TRUE
561,376,TRUE
620,376,TRUE
2153,376,TRUE
319,377,TRUE
319,378,TRUE
399,378,TRUE
441,378,TRUE
1114,378,TRUE
279,379,TRUE
380,379,TRUE
381,379,TRUE
382,379,TRUE
379,380,TRUE
381,380,TRUE
471,380,TRUE
379,381,TRUE
380,381,TRUE
279,382,TRUE
379,382,TRUE
37,384,TRUE
242,384,TRUE
415,384,TRUE
483,384,TRUE
624,384,TRUE
730,384,TRUE
798,384,TRUE
1205,384,TRUE
1247,384,TRUE
3328,384,TRUE
3610,384,TRUE
3686,384,TRUE
249,385,TRUE
387,385,TRUE
388,385,TRUE
398,385,TRUE
759,385,TRUE
161,386,TRUE
1405,386,TRUE
1859,386,TRUE
385,387,TRUE
388,387,TRUE
561,387,TRUE
1000,387,TRUE
385,388,TRUE
387,388,TRUE
1148,389,TRUE
339,391,TRUE
434,391,TRUE
526,391,TRUE
732,391,TRUE
733,391,TRUE
1139,391,TRUE
1170,391,TRUE
3503,391,TRUE
309,392,TRUE
869,392,TRUE
2999,392,TRUE
430,393,TRUE
1774,394,TRUE
368,396,TRUE
397,396,TRUE
874,396,TRUE
1377,396,TRUE
2886,396,TRUE
319,397,TRUE
396,397,TRUE
442,397,TRUE
1031,397,TRUE
77,398,TRUE
385,398,TRUE
720,398,TRUE
963,398,TRUE
378,399,TRUE
585,399,TRUE
1191,399,TRUE
1456,399,TRUE
642,401,TRUE
715,401,TRUE
1016,401,TRUE
1535,401,TRUE
726,402,TRUE
74,403,TRUE
92,403,TRUE
404,403,TRUE
92,404,TRUE
403,404,TRUE
130,405,TRUE
406,405,TRUE
405,406,TRUE
319,407,TRUE
103,409,TRUE
902,409,TRUE
411,410,TRUE
410,411,TRUE
1663,411,TRUE
2236,412,TRUE
9,413,TRUE
1970,413,TRUE
190,415,TRUE
242,415,TRUE
384,415,TRUE
643,415,TRUE
1166,415,TRUE
1230,415,TRUE
1251,415,TRUE
1671,415,TRUE
1753,415,TRUE
1795,415,TRUE
1861,415,TRUE
2104,415,TRUE
2147,415,TRUE
2299,415,TRUE
2334,415,TRUE
2354,415,TRUE
2355,415,TRUE
2359,415,TRUE
2438,415,TRUE
2462,415,TRUE
2471,415,TRUE
2569,415,TRUE
2779,415,TRUE
2888,415,TRUE
3096,415,TRUE
3711,415,TRUE
3777,415,TRUE
3871,415,TRUE
3885,415,TRUE
569,416,TRUE
952,416,TRUE
348,417,TRUE
270,418,TRUE
462,418,TRUE
420,419,TRUE
419,420,TRUE
270,421,TRUE
520,421,TRUE
368,422,TRUE
370,422,TRUE
1709,423,TRUE
1710,423,TRUE
2111,423,TRUE
3563,423,TRUE
694,425,TRUE
472,426,TRUE
849,426,TRUE
995,426,TRUE
1706,428,TRUE
3256,428,TRUE
457,429,TRUE
1018,429,TRUE
1209,429,TRUE
393,430,TRUE
991,430,TRUE
1640,431,TRUE
1469,432,TRUE
548,433,TRUE
1542,433,TRUE
2019,433,TRUE
2100,433,TRUE
2227,433,TRUE
2289,433,TRUE
2555,433,TRUE
2851,433,TRUE
3617,433,TRUE
391,434,TRUE
468,434,TRUE
741,434,TRUE
817,434,TRUE
1491,434,TRUE
325,437,TRUE
776,437,TRUE
2496,437,TRUE
616,438,TRUE
723,438,TRUE
760,438,TRUE
761,438,TRUE
1510,438,TRUE
2765,438,TRUE
440,439,TRUE
439,440,TRUE
454,440,TRUE
498,440,TRUE
663,440,TRUE
1111,440,TRUE
378,441,TRUE
53,442,TRUE
397,442,TRUE
443,442,TRUE
1325,442,TRUE
442,443,TRUE
864,443,TRUE
969,444,TRUE
796,445,TRUE
2740,445,TRUE
528,450,TRUE
647,450,TRUE
2890,450,TRUE
770,452,TRUE
440,454,TRUE
320,456,TRUE
429,457,TRUE
1257,457,TRUE
2107,458,TRUE
488,459,TRUE
1233,459,TRUE
3311,459,TRUE
3840,459,TRUE
3851,459,TRUE
1658,460,TRUE
418,462,TRUE
732,462,TRUE
1521,464,TRUE
2603,464,TRUE
3138,464,TRUE
960,465,TRUE
2326,465,TRUE
2764,465,TRUE
1107,466,TRUE
2612,466,TRUE
2663,467,TRUE
434,468,TRUE
2354,468,TRUE
2554,468,TRUE
470,469,TRUE
469,470,TRUE
792,470,TRUE
991,470,TRUE
1874,470,TRUE
2911,470,TRUE
3466,470,TRUE
380,471,TRUE
426,472,TRUE
1739,472,TRUE
366,473,TRUE
894,473,TRUE
518,474,TRUE
3561,474,TRUE
749,475,TRUE
1174,479,TRUE
1560,479,TRUE
69,480,TRUE
80,481,TRUE
1920,481,TRUE
483,482,TRUE
384,483,TRUE
482,483,TRUE
624,483,TRUE
2338,483,TRUE
2632,483,TRUE
486,485,TRUE
485,486,TRUE
659,486,TRUE
459,488,TRUE
1233,488,TRUE
1561,488,TRUE
2295,488,TRUE
2448,488,TRUE
490,489,TRUE
489,490,TRUE
1013,494,TRUE
897,496,TRUE
440,498,TRUE
531,498,TRUE
541,498,TRUE
500,499,TRUE
499,500,TRUE
318,502,TRUE
503,502,TRUE
991,502,TRUE
2068,502,TRUE
2687,502,TRUE
2813,502,TRUE
502,503,TRUE
1137,503,TRUE
2068,503,TRUE
696,504,TRUE
1603,505,TRUE
311,506,TRUE
3406,511,TRUE
2232,513,TRUE
3458,513,TRUE
43,516,TRUE
97,516,TRUE
474,518,TRUE
421,520,TRUE
715,520,TRUE
530,521,TRUE
523,522,TRUE
522,523,TRUE
1039,525,TRUE
1351,525,TRUE
391,526,TRUE
61,528,TRUE
450,528,TRUE
544,528,TRUE
772,528,TRUE
883,528,TRUE
906,528,TRUE
1208,528,TRUE
1737,528,TRUE
1804,528,TRUE
1906,528,TRUE
1910,528,TRUE
2203,528,TRUE
2209,528,TRUE
2218,528,TRUE
2220,528,TRUE
2221,528,TRUE
2299,528,TRUE
2890,528,TRUE
3292,528,TRUE
3618,528,TRUE
3665,528,TRUE
345,529,TRUE
521,530,TRUE
366,531,TRUE
498,531,TRUE
667,531,TRUE
774,531,TRUE
359,533,TRUE
534,533,TRUE
595,533,TRUE
103,534,TRUE
533,534,TRUE
1751,535,TRUE
3771,535,TRUE
726,536,TRUE
678,537,TRUE
988,537,TRUE
541,540,TRUE
498,541,TRUE
540,541,TRUE
1062,541,TRUE
48,543,TRUE
528,544,TRUE
48,546,TRUE
547,546,TRUE
48,547,TRUE
546,547,TRUE
194,548,TRUE
323,548,TRUE
433,548,TRUE
971,548,TRUE
1972,548,TRUE
1973,548,TRUE
2080,548,TRUE
2227,548,TRUE
2289,548,TRUE
2733,548,TRUE
2809,548,TRUE
2851,548,TRUE
3617,548,TRUE
550,549,TRUE
549,550,TRUE
43,551,TRUE
124,551,TRUE
142,551,TRUE
648,551,TRUE
877,551,TRUE
896,551,TRUE
975,551,TRUE
1016,551,TRUE
1176,551,TRUE
1438,551,TRUE
1510,551,TRUE
1807,551,TRUE
1826,551,TRUE
1873,551,TRUE
2014,551,TRUE
2322,551,TRUE
2453,551,TRUE
2765,551,TRUE
3061,551,TRUE
3116,551,TRUE
3154,551,TRUE
3207,551,TRUE
1048,552,TRUE
122,553,TRUE
555,554,TRUE
554,555,TRUE
2236,556,TRUE
2559,556,TRUE
2999,556,TRUE
3052,556,TRUE
3340,556,TRUE
270,557,TRUE
12,558,TRUE
586,558,TRUE
804,558,TRUE
836,558,TRUE
1011,558,TRUE
1211,558,TRUE
376,561,TRUE
387,561,TRUE
731,561,TRUE
1458,561,TRUE
596,562,TRUE
344,563,TRUE
309,564,TRUE
81,565,TRUE
87,565,TRUE
88,565,TRUE
369,567,TRUE
568,567,TRUE
951,567,TRUE
994,567,TRUE
369,568,TRUE
567,568,TRUE
707,568,TRUE
416,569,TRUE
918,569,TRUE
952,569,TRUE
3329,569,TRUE
718,572,TRUE
1109,572,TRUE
290,573,TRUE
72,574,TRUE
2115,577,TRUE
1332,579,TRUE
2250,579,TRUE
120,580,TRUE
278,580,TRUE
367,580,TRUE
581,580,TRUE
1055,580,TRUE
1430,580,TRUE
1725,580,TRUE
2110,580,TRUE
253,581,TRUE
580,581,TRUE
993,581,TRUE
1331,581,TRUE
1478,581,TRUE
2015,581,TRUE
2458,581,TRUE
2862,581,TRUE
967,584,TRUE
3315,584,TRUE
399,585,TRUE
772,585,TRUE
773,585,TRUE
900,585,TRUE
1191,585,TRUE
3428,585,TRUE
558,586,TRUE
616,591,TRUE
2292,591,TRUE
306,592,TRUE
359,595,TRUE
533,595,TRUE
596,595,TRUE
597,595,TRUE
562,596,TRUE
595,596,TRUE
597,596,TRUE
595,597,TRUE
596,597,TRUE
606,597,TRUE
319,598,TRUE
638,599,TRUE
672,600,TRUE
930,600,TRUE
1032,600,TRUE
1708,600,TRUE
2656,600,TRUE
3084,600,TRUE
602,601,TRUE
601,602,TRUE
54,603,TRUE
960,603,TRUE
1243,603,TRUE
1984,603,TRUE
2999,603,TRUE
3031,603,TRUE
983,604,TRUE
597,606,TRUE
608,607,TRUE
960,607,TRUE
607,608,TRUE
930,608,TRUE
960,608,TRUE
1184,608,TRUE
3767,608,TRUE
2555,609,TRUE
3687,609,TRUE
670,610,TRUE
614,613,TRUE
613,614,TRUE
957,614,TRUE
270,616,TRUE
438,616,TRUE
591,616,TRUE
959,616,TRUE
960,616,TRUE
1276,618,TRUE
320,620,TRUE
376,620,TRUE
621,620,TRUE
626,620,TRUE
755,620,TRUE
875,620,TRUE
620,621,TRUE
1494,622,TRUE
1723,622,TRUE
384,624,TRUE
483,624,TRUE
960,624,TRUE
2643,624,TRUE
620,626,TRUE
1269,629,TRUE
311,637,TRUE
599,638,TRUE
319,639,TRUE
929,639,TRUE
641,640,TRUE
3422,640,TRUE
640,641,TRUE
401,642,TRUE
415,643,TRUE
1539,643,TRUE
2301,643,TRUE
2438,643,TRUE
2603,643,TRUE
2888,643,TRUE
3297,643,TRUE
3321,643,TRUE
3560,643,TRUE
345,646,TRUE
933,646,TRUE
450,647,TRUE
551,648,TRUE
896,648,TRUE
1889,648,TRUE
3084,648,TRUE
650,649,TRUE
649,650,TRUE
4,651,TRUE
69,653,TRUE
1096,653,TRUE
366,657,TRUE
80,659,TRUE
